Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1714,30181,31895,Dagon Myothit(East),MMR013020
 Rural,48,1970,2018,Dagon Myothit(East),MMR013020
 Total,1762,32151,33913,Dagon Myothit(East),MMR013020
