Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,149,704,853,Minemaw,MMR015008
 Rural,260,9332,9592,Minemaw,MMR015008
 Total,409,10036,10445,Minemaw,MMR015008
