Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,18,595,613,Minengaw(ST),MMR015012
 Rural,14,3402,3416,Minengaw(ST),MMR015012
 Total,32,3997,4029,Minengaw(ST),MMR015012
