Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,167,1394,1561,Minesat,MMR016006
 Rural,809,13539,14348,Minesat,MMR016006
 Total,976,14933,15909,Minesat,MMR016006
