Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,394,6480,6874,Pyawbwe,MMR010024
 Rural,361,51628,51989,Pyawbwe,MMR010024
 Total,755,58108,58863,Pyawbwe,MMR010024
