Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,2,89,91,Monehta(ST),MMR016008
 Rural,10,828,838,Monehta(ST),MMR016008
 Total,12,917,929,Monehta(ST),MMR016008
