Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,23,261,284,Minekoke(ST),MMR016006
 Rural,52,2866,2918,Minekoke(ST),MMR016006
 Total,75,3127,3202,Minekoke(ST),MMR016006
