Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,308,3863,4171,Naungkhio,MMR015013
 Rural,849,27204,28053,Naungkhio,MMR015013
 Total,1157,31067,32224,Naungkhio,MMR015013
