Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,128,1202,1330,Le`char,MMR014012
 Rural,259,7201,7460,Le`char,MMR014012
 Total,387,8403,8790,Le`char,MMR014012
