Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,39,740,779,Manton,MMR015019
 Rural,36,6868,6904,Manton,MMR015019
 Total,75,7608,7683,Manton,MMR015019
