Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,225,1994,2219,Mongkai,MMR014016
 Rural,188,13925,14113,Mongkai,MMR014016
 Total,413,15919,16332,Mongkai,MMR014016
