Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,11,2455,2466,Ponnagyun,MMR012002
 Rural,6,22863,22869,Ponnagyun,MMR012002
 Total,17,25318,25335,Ponnagyun,MMR012002
