Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1526,4594,6120,Kyauktada,MMR013033
 Total,1526,4594,6120,Kyauktada,MMR013033
