Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,70,1263,1333,Minepyin,MMR016007
 Rural,88,9184,9272,Minepyin,MMR016007
 Total,158,10447,10605,Minepyin,MMR016007
