Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,330,6970,7300,Wundwin,MMR010031
 Rural,534,45735,46269,Wundwin,MMR010031
 Total,864,52705,53569,Wundwin,MMR010031
