Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,271,25060,25331,Dala,MMR013030
 Rural,95,12486,12581,Dala,MMR013030
 Total,366,37546,37912,Dala,MMR013030
