Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,17,1723,1740,Thapaung,MMR017003
 Rural,86,35411,35497,Thapaung,MMR017003
 Total,103,37134,37237,Thapaung,MMR017003
