Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,518,11197,11715,Thanbyuzayat,MMR011004
 Rural,567,23952,24519,Thanbyuzayat,MMR011004
 Total,1085,35149,36234,Thanbyuzayat,MMR011004
