Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,118,1040,1158,Kunlon,MMR015020
 Rural,303,8931,9234,Kunlon,MMR015020
 Total,421,9971,10392,Kunlon,MMR015020
