Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,2664,7642,10306,Pazuntaung,MMR013016
 Total,2664,7642,10306,Pazuntaung,MMR013016
