Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,62,780,842,Kehsi,MMR014015
 Rural,265,7794,8059,Kehsi,MMR014015
 Total,327,8574,8901,Kehsi,MMR014015
