Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,2,1508,1510,Yethedaung,MMR012008
 Rural,22,22809,22831,Yethedaung,MMR012008
 Total,24,24317,24341,Yethedaung,MMR012008
