Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,83,1387,1470,Mineye`,MMR015003
 Rural,237,11621,11858,Mineye`,MMR015003
 Total,320,13008,13328,Mineye`,MMR015003
