Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,362,5580,5942,Hmawby,MMR013003
 Rural,1273,49254,50527,Hmawby,MMR013003
 Total,1635,54834,56469,Hmawby,MMR013003
