Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1510,35931,37441,Pathein,MMR017001
 Rural,143,28452,28595,Pathein,MMR017001
 Total,1653,64383,66036,Pathein,MMR017001
