Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,603,8050,8653,Kyukme,MMR015012
 Rural,398,19320,19718,Kyukme,MMR015012
 Total,1001,27370,28371,Kyukme,MMR015012
