Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,85,4512,4597,Ngathaingchaung(ST),MMR017006
 Rural,271,18045,18316,Ngathaingchaung(ST),MMR017006
 Total,356,22557,22913,Ngathaingchaung(ST),MMR017006
