Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,80,3177,3257,Namtu,MMR015015
 Rural,169,8215,8384,Namtu,MMR015015
 Total,249,11392,11641,Namtu,MMR015015
