Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,578,19781,20359,Taikkyi,MMR013005
 Rural,236,46404,46640,Taikkyi,MMR013005
 Total,814,66185,66999,Taikkyi,MMR013005
