Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,886,18011,18897,Myingyan,MMR010017
 Rural,295,43148,43443,Myingyan,MMR010017
 Total,1181,61159,62340,Myingyan,MMR010017
