Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,7,224,231,Mineyu(ST),MMR016011
 Rural,546,10090,10636,Mineyu(ST),MMR016011
 Total,553,10314,10867,Mineyu(ST),MMR016011
