Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,635,9613,10248,Pobbathiri,MMR018005
 Rural,444,16924,17368,Pobbathiri,MMR018005
 Total,1079,26537,27616,Pobbathiri,MMR018005
