Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,153,2334,2487,Tamoenye(ST),MMR015011
 Rural,267,10295,10562,Tamoenye(ST),MMR015011
 Total,420,12629,13049,Tamoenye(ST),MMR015011
