Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,266,2436,2702,Patheingyi,MMR010007
 Rural,2004,48284,50288,Patheingyi,MMR010007
 Total,2270,50720,52990,Patheingyi,MMR010007
