Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,35,717,752,Minenaung(ST),MMR014015
 Rural,73,4986,5059,Minenaung(ST),MMR014015
 Total,108,5703,5811,Minenaung(ST),MMR014015
