Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,267,8870,9137,Maubin,MMR017019
 Rural,197,62470,62667,Maubin,MMR017019
 Total,464,71340,71804,Maubin,MMR017019
