Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,726,7765,8491,Kyaukse,MMR010013
 Rural,641,48633,49274,Kyaukse,MMR010013
 Total,1367,56398,57765,Kyaukse,MMR010013
