Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,43,2631,2674,Kangyidaunt,MMR017002
 Rural,209,40083,40292,Kangyidaunt,MMR017002
 Total,252,42714,42966,Kangyidaunt,MMR017002
