Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,6765,36555,43320,Thingangyun,MMR013009
 Total,6765,36555,43320,Thingangyun,MMR013009
