Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,5,2613,2618,Myebon,MMR012006
 Rural,28,28693,28721,Myebon,MMR012006
 Total,33,31306,31339,Myebon,MMR012006
