Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1441,13015,14456,Pyinmana,MMR018006
 Rural,503,24704,25207,Pyinmana,MMR018006
 Total,1944,37719,39663,Pyinmana,MMR018006
