Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,81,898,979,Naungtayar(ST),MMR014009
 Rural,255,15345,15600,Naungtayar(ST),MMR014009
 Total,336,16243,16579,Naungtayar(ST),MMR014009
