Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,3884,41572,45456,Thakayta,MMR013013
 Total,3884,41572,45456,Thakayta,MMR013013
