Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,4258,29841,34099,Lashio,MMR015001
 Rural,869,29964,30833,Lashio,MMR015001
 Total,5127,59805,64932,Lashio,MMR015001
