Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,436,4405,4841,Nanhsam(South),MMR014013
 Rural,609,13413,14022,Nanhsam(South),MMR014013
 Total,1045,17818,18863,Nanhsam(South),MMR014013
