Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,90,2559,2649,Hsihseng,MMR014004
 Rural,611,29511,30122,Hsihseng,MMR014004
 Total,701,32070,32771,Hsihseng,MMR014004
