Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,116,873,989,Mineyan,MMR016003
 Rural,872,8258,9130,Mineyan,MMR016003
 Total,988,9131,10119,Mineyan,MMR016003
