Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Rural,619,8666,9285,Mine Pauk(ST),MMR016003
 Total,619,8666,9285,Mine Pauk(ST),MMR016003
