Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,140,1329,1469,Monekoe(ST),MMR015009
 Rural,85,2804,2889,Monekoe(ST),MMR015009
 Total,225,4133,4358,Monekoe(ST),MMR015009
