Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,7,1208,1215,Maei(ST),MMR012016
 Rural,12,8726,8738,Maei(ST),MMR012016
 Total,19,9934,9953,Maei(ST),MMR012016
