Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,79,540,619,Chinshwehaw(ST),MMR015022
 Rural,16,315,331,Chinshwehaw(ST),MMR015022
 Total,95,855,950,Chinshwehaw(ST),MMR015022
