Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,132,2127,2259,Pindaya,MMR014006
 Rural,121,15164,15285,Pindaya,MMR014006
 Total,253,17291,17544,Pindaya,MMR014006
