Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,2789,5810,8599,Lanmadaw,MMR013035
 Total,2789,5810,8599,Lanmadaw,MMR013035
