Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,3702,73282,76984,Dagon Myothit(South),MMR013018
 Total,3702,73282,76984,Dagon Myothit(South),MMR013018
