Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,55,1823,1878,An,MMR012014
 Rural,100,25381,25481,An,MMR012014
 Total,155,27204,27359,An,MMR012014
