Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1325,17384,18709,Thanlyin,MMR013023
 Rural,815,42073,42888,Thanlyin,MMR013023
 Total,2140,59457,61597,Thanlyin,MMR013023
