Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,113,5936,6049,Myanaung,MMR017011
 Rural,208,53663,53871,Myanaung,MMR017011
 Total,321,59599,59920,Myanaung,MMR017011
