Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,58,136,194,Kongyan,MMR015023
 Rural,141,5127,5268,Kongyan,MMR015023
 Total,199,5263,5462,Kongyan,MMR015023
