Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1539,5024,6563,Pabedan,MMR013034
 Total,1539,5024,6563,Pabedan,MMR013034
