Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,6,61,67,Makman,MMR015024
 Rural,10,3241,3251,Makman,MMR015024
 Total,16,3302,3318,Makman,MMR015024
