Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,757,1265,2022,Pan San(Pan Kham),MMR015005
 Rural,834,13286,14120,Pan San(Pan Kham),MMR015005
 Total,1591,14551,16142,Pan San(Pan Kham),MMR015005
