Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,3650,10987,14637,Yankin,MMR013010
 Total,3650,10987,14637,Yankin,MMR013010
