Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,266,7612,7878,Khayan,MMR013026
 Rural,202,31234,31436,Khayan,MMR013026
 Total,468,38846,39314,Khayan,MMR013026
