Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,22,1453,1475,Kyeintali(ST),MMR012017
 Rural,18,4588,4606,Kyeintali(ST),MMR012017
 Total,40,6041,6081,Kyeintali(ST),MMR012017
